"year","source","paper_id","discipline","title_data","type","author1_data"
"            2009","          SEG ","          2009-0933 ","geophysics","Magnetic 3D Fast Forward Modeling With Varying Terrain","          Conference Paper","Wu, Wenli, Institute of Geophysical and Geochemical Exploration"
"            2004","          SEG ","          2004-1484 ","reservoir","Quantitative Seismic Facies Analysis For Thin-bed Reservoirs: a Case Study of the Central Boonsville Field, Fort Worth Basin, North-central Texas","          Conference Paper","Xie, Deyi, Michigan Technological University"
"            2002","          SEG ","          2002-0949 ","geophysics","Crosshole Seismic Tomography Method For Complicated Structure Model","          Conference Paper","Pei, Zhenglin, Key Lab of Geophysical Exploration Of University of Petroleum"
"            2001","          SEG ","          2001-1796 ","drilling","Estimation of Reservoir Parameters Using an Anisotropic Dual Porosity Model","          Conference Paper","Jun, Yan, Edinburgh University, British Geological Survey"
"            2011","          ISOPE ","          I-11-295 ","drilling","Experimental Study On Acceleration Measurement And Numerical Integral of Ships Wave Movement","          Conference Paper","Chen, Ai-Guo, School of Civil Engineering and Transportation, South China University of Technology, School of ship Engineering, Guangzhou Maritime College"
"            2004","          SEG ","          2004-0378 ","reservoir","Seismic Attribute Analysis In Hydrothermal Dolomite, Devonian Slave Point Formation, Northeast British Columbia, Canada","          Conference Paper","Strecker, Uwe, Rock Solid Images"
"            1994","          SPE ","          28106-MS ","geophysics","Real-time microseismic monitoring: Automatic wave processing and multilayered velocity model for accurate event location","          Conference Paper","Senfaute, G., INERIS"
"            1999","          SPE ","          56634-MS ","drilling","A Probabilistic Reasoning Tool for Circulation Monitoring Based on Flow Measurements","          Conference Paper","Mansure, A.J., Sandia National Laboratories"
"            2011","          SPE ","          145873-MS ","stimulation","Reservoir Characterization for Fracture Distribution Prediction and New Well Target Identification","          Conference Paper","Lefranc, marie, Schlumberger"
"            2011","          SEG ","          2011-1887 ","drilling","3D Petrophysical Modeling Using Complex Seismic Attributes And Limited Well Log Data","          Conference Paper","Eftekharifar, Mehdi, University of Houston"
"            2013","          SPE ","          167486-MS ","other","Energy Harvesting Powered Wireless Monitoring and Control in Oil and Gas","          Conference Paper","Ahmad, Talha J., Saudi Aramco"
"            2001","          SPE ","          71474-MS ","production","Multiphase Flow Metering: Current Trends and Future Developments","          Conference Paper","Falcone, G., Imperial College"
"            1995","          ISOPE ","          I-95-276 ","geophysics","Parametric Decomposition of Velocity Components On the Basis of Irregular Wave Data","          Conference Paper","Zhan, L., Franzius-Institut, University of Hannover"
"            2008","          SPE ","          116393-MS ","drilling","Petrophysical Properties Prediction Using 3D Core Scanner Imagery","          Conference Paper","Jouini, Mohamed Soufiane, TOTAL"
"            2010","          SPE ","          135416-MS ","drilling","A Decision Analytic Framework for Autonomous Geosteering","          Conference Paper","Rajaieyamchee, Mohamad Ali,"
"            2016","          SPE ","          182065-MS ","geology","Selection of Unconventional Core Workflow Depending on Field Goals","          Conference Paper","Karpov, I., Gazpromneft STC"
"            2002","          ISRM ","          EUROCK-2002-060 ","drilling","Advanced Analysis And Prediction Of Displacements And System Behaviour In Tunnelling","          Conference Paper","Sellner, Sellner, Gruppe Geotechnik Graz ZT-GmbH (3G)"
"            2013","          SPE ","          163726-MS ","drilling","Automatic Sensor Data Validation: Improving the Quality and Reliability of Rig Data","          Conference Paper","Ashok, Pradeep, University of Texas at Austin"
"            2014","          ISOPE ","          I-14-203 ","drilling","A Method for Risk Assessment to Deep-Seated Catastrophic Landslides caused by Heavy Rain based on Artificial Intelligence and Mathematical Statistics","          Conference Paper","Oda, Kazuhiro, Osaka University"
"            2008","          SPE ","          119891-MS ","reservoir","Workflow for Stratigraphic Characterization of Unconventional Gas Shales","          Conference Paper","Slatt, Roger Malcolm, U. of Oklahoma"
"            2012","          ISOPE ","          I-12-258 ","drilling","Multi-target Detection of Underwater Vehicle Based On Multi-sensor Data Fusion","          Conference Paper","Xu, Guo H., Underwater Technology Laboratory, College of Navy and Ship Science and Engineering, Huazhong University of Science and Technology"
"            2011","          IPTC ","          14279-MS ","drilling","Avoiding Sustained Casing Pressure in Gas wells using Self Healing Cement","          Conference Paper","Taoutaou, Salim, Schlumberger"
"            2006","          NACE ","          06114 ","reservoir","Oil Characteristics, Water/Oil Wetting and Flow Influence on the Metal Loss Corrosion - Part II: Chemistry, Wetability and Experimental Evaluation","          Conference Paper","Efird, Killian Daniel, Efird Corrosion International Inc."
"            2004","          NACE ","          04450 ","flow assur","Managing Electrochemical Noise Data by Exception: Application of an On-Line EN Data Analysis Technique to Data from a High Level Nuclear Waste Tank","          Conference Paper","Barr, Emily, Capcis Systems Ltd."
"            2012","          ISRM ","          ARMS7-2012-130 ","petrophysics","Prediction of Rockburst Classification by SVM Method","          Conference Paper","Aibing, Li, University of Technology, Changsha Institute of Mining Research"
"            1996","          SEG ","          1996-1789 ","drilling","Use of Seismic Attributes As Predictors of Reservoir Properties -- Potential Risks","          Conference Paper","Kalkomey, Cynthia T., Mobil E&P Technical Center"
"            2006","          ISOPE ","          I-06-087 ","drilling","A Matching-time Peak Tracking For Ocean Acoustic Tomography","          Conference Paper","Nakano, Iwao, Graduate School of Science and Technology, Kobe University and Japan Agency for Marine-Earth Science and Technology"
"            1996","          SUT ","          ASPECT-96-041 ","drilling","Recent Developments In Defect Characterisation Techniques For Flexible Pipes","          Conference Paper","Henderson, Kirk, AMITEC Ltd."
"            2011","          SEG ","          2011-1814 ","stimulation","An Integrated Approach For Fracture Characterization And Prediction Using FMI Logs, Post-stack Seismic Attributes And Pre-stack Anisotropy-a Case Study In Tishrine West Oilfield, Northeast Syria","          Conference Paper","Yang, Jian, Oudeh Petroleum Company"
"            2004","          SPE ","          92031-MS ","stimulation","Seismically Driven Improved Fractured Reservoir Characterization","          Conference Paper","Ouenes, Ahmed, Prism Seismic"
"            2009","          ISRM ","          SINOROCK-2009-119 ","petrophysics","Research Method On Surrounding Rock Classification Based On GA-GPC With Combined Kernel Function","          Conference Paper","Xu, C., Beijing Jiaotong University"
"            2015","          ISRM ","          13CONGRESS-2015-180 ","stimulation","Intelligence for Grouting Balance","          Conference Paper","García, S., Ciudad Universitaria"
"            2014","          SPE ","          167850-MS ","reservoir","A Data-Driven Approach to Modelling and Optimization for a North Sea Asset Using Real-Time Data","          Conference Paper","Ziegel, E., BP"
"            2015","          SPE ","          174812-MS ","production","Fuzzynistic Models for Multiphase Flow Pattern Identification","          Conference Paper","Popa, Florentina, Halliburton"
"            2002","          SPE ","          77248-MS ","drilling","Real-Time Downhole Drilling Process Data Complement Surface Data In Drilling Optimization","          Conference Paper","Robnett, E.W., Baker Hughes INTEQ"
"            2016","          SPE ","          181808-MS ","stimulation","Hydraulic Fracturing of a Clay Rich Formation in Southern Chile: The Challenges & Successes","          Conference Paper","Britt, L. K., NSI Fracturing, LLC"
"            2000","          SEG ","          2000-0553 ","geophysics","Attributes For Automating Seismic Facies Analysis","          Conference Paper","Barnes, Arthur E., Landmark Graphics Corporation"
"            2014","          SPE ","          169447-MS ","drilling","Optimizing Waterflooding Process for Recovery Using Nonlinear Model Predictive Control: Case Yariguí - Cantagallo","          Conference Paper","Prada Mejía, J. A., Ecopetrol -ICP"
"            2016","          SPE ","          181025-MS ","drilling","A Dynamic Data-Driven Inversion Based Method for Multi-Layer Flow and Formation Properties Estimation","          Conference Paper","Bello, Oladele, Baker Hughes Incorporated"
"            2004","          SPE ","          88466-MS ","stimulation","Methods for Delineation of Fractured Oil Bearing Conglomerate Reservoir","          Conference Paper","Liang, Xing Ru, The E&P Research Institute of Huabei Branch of PetroChina"
"            1999","          SPE ","          57259-MS ","drilling","Mapping Reservoir Saturation with Seismic Resolution to Improve Reservoir Model","          Conference Paper","Reymond, S.B., Schlumberger (Geco-Prakla)"
"            2007","          NACE ","          07267 ","drilling","Intelligent Pipeline Monitoring System","          Conference Paper","Gu, P., CANMET Materials Technology Laboratory, Natural Resources Canada"
"            2015","          SPE ","          175363-MS ","reservoir","Pore System Characterization of a Low Permeability Reservoir and its Related Development and Production Issues: A Case Study from Ratawi Limestone, Umm Gudair Field, Kuwait","          Conference Paper","Dutta, Dipankar, Kuwait Oil Company"
"            2012","          SEG ","          2012-0387 ","stimulation","Framework for Time Lapse Fracture Characterization Using Seismic, Microseismic & Well Log Data","          Conference Paper","Maity, Debotyam, University of Southern California"
"            2009","          IPTC ","          13049-MS ","stimulation","The use of Self Healing Cement to Ensure long Term Zonal Isolation for HPHT wells subject to Hydraulic Fracturing Operations in Pakistan","          Conference Paper","Muhammad, Ali, OMV (Pakistan) Exploration G.m.b.H"
"            2014","          URTEC ","          1928595-MS ","reservoir","Generative Models for Production Forecasting in Unconventional Oil and Gas Plays","          Conference Paper","Kuzma, Heidi Anderson, BetaZi LLC"
"            2011","          ISOPE ","          I-11-399 ","drilling","Dynamic Response Control of a Jacket Platform Using MR Dampers Based On an Inverse Dynamic Model","          Conference Paper","Yu, Xiaochuan, Ocean Engineering Program / Department of Civil Engineering, Texas A&M University"
"            2011","          SPE ","          144333-MS ","stimulation","An Overview Of Completion And Stimulation Techniques And Production Trends In Granite Wash Horizontal Wells","          Conference Paper","Srinivasan, Karthik, Schlumberger Technology Corp."
"            2017","          SPE ","          185847-MS ","reservoir","Polynomial-Chaos-Expansion Based Integrated Dynamic Modelling Workflow for Computationally Efficient Reservoir Characterization: A Field Case Study","          Conference Paper","Patel, Rajan G., University of Alberta"
"            2012","          SPE ","          154339-MS ","reservoir","Reservoir Characterization of an Unconventional Reservoir by Integrating Microseismic, Seismic, and Well Log Data","          Conference Paper","Maity, Debotyam, U. of Southern California"
"            2014","          SPE ","          168157-MS ","stimulation","An Innovative Approach to Forecasting Matrix Stimulation Treatment Results: A Case Study","          Conference Paper","Ahmed, D., Schlumberger"
"            2015","          SPE ","          174805-MS ","drilling","Predicting and Optimizing ROP in Competent Shale by Utilizing MPD Technology","          Conference Paper","Mammadov, Elvin, Weatherford Canada"
"            2007","          SPE ","          111112-MS ","reservoir","Accurate Calculation of Hydrocarbon Saturation based on Log-Data in Complex Carbonate Reservoirs in the Middle-East","          Conference Paper","Obeida, Tawfiq A., Abu Dhabi Co. Onshore Oil Opn."
"            2004","          SPE ","          88649-MS ","reservoir","Toucan Smart Field Development: How to Generate More Value from Hydrocarbon Resources","          Conference Paper","Braithwaite, S.R., Shell International E&P"
"            2017","          SPE ","          183679-MS ","reservoir","A Comparative Study of Experimental Design Techniques in Assisted History Matching","          Conference Paper","Shams, Mohamed, Amal Petrpleum Company"
"            2012","          SPE ","          150343-MS ","drilling","Review of Methods for Uniaxial Compressive Rock Strength Estimation in Deepwater Formation With Uncertainty Quantification in Wellbore Stability Analysis in Absence of Core Measurements","          Conference Paper","Kumar, Rajeev Ranjan, Schlumberger Asia Services Ltd"
"            2015","          SPE ","          176302-MS ","drilling","Thinly Bedded Reservoir Study, Application of Sand-Slit-Clay (SSC)-SHARP-Thomas Stieber Juhasz Models, in a Deep Water Field, Offshore Sabah, Malaysia","          Conference Paper","Kantaatmadja, Budi P., PETRONAS"
"            2014","          ISOPE ","          I-14-494 ","drilling","Structural Damage Alarming of Offshore Platform Based on the Principal Components of the Transmissibility Function","          Conference Paper","Diao, Yansong, Qingdao Technological University"
"            2010","          ISRM ","          ISRS-2010-109 ","geophysics","The Method of Bound Regression Analyse of the Initial Geostress Field And Its Application","          Conference Paper","Yang, Shuxin, Beijing Jiaotong University"
"            2015","          ISRM ","          VIETROCK-2015-020 ","reservoir","Some Research Activities on Rock Mechanics/Engineering at Nanyang Technological University, Singapore","          Conference Paper","Zhao, Z. Y., Nanyang Technological University"
"            2008","          ISRM ","          ARMS5-2008-103 ","drilling","Study On Relationship Between Stress Fields Of Deep-Buried Tunnels In A Hydraulic Power Plant","          Conference Paper","Cheng-Hu, Wang, Institute of Crustal Dynamics, China Earthquake Administration"
"            2007","          SPE ","          107433-MS ","drilling","New Approach To Ensure Long-Term Zonal Isolation for Land Gas Wells Using Monobore Cemented Completion","          Conference Paper","Taoutaou, Salim, Schlumberger"
"            2002","          OTC ","          14147-MS ","geophysics","Beyond AVO: Examples of Elastic Impedance Inversion","          Conference Paper","Cosban, Terry, CGG"
"            2013","          IPTC ","          16935-ABSTRACT ","drilling","Petrophysical Analysis and Sequence Stratigraphy of the Utica Shale and Marcellus Shale, Appalachian Basin, USA","          Conference Paper","Carr, Timothy R., West Virginia University"
"            1999","          SPE ","          56798-MS ","reservoir","Comparison of Permeability from NMR and Production Analysis in Carbonate Reservoirs","          Conference Paper","Quintero, L., Schlumberger"
"            2000","          NACE ","          00162 ","other","Selecting Materials for OCTG With the Help of a Decision Support System","          Conference Paper","Kopliku, Ardjan, AGIP SpA"
"            1998","          SPE ","          49998-MS ","other","A Multidisciplinary Approach to Characterize the Hu-12 Oilfield, East China","          Conference Paper","Chen, L., RIPED (CNPC)"
"            2013","          SPE ","          164230-MS ","production","Well Integrity Management System (WIMS): Coupled Engineering Analysis","          Conference Paper","Samuel, Robello, Halliburton"
"            2003","          SPE ","          84460-MS ","stimulation","Seismically Driven Integrated Fracture Modeling","          Conference Paper","Shen, F., EP Tech"
"            2001","          SPE ","          69463-MS ","reservoir","A New Alternative in the Performance Monitoring and Control of the Reservoir- Artificial Lift System for the Optimization of a Producing Well","          Conference Paper","Cirilli, Lorenzo Arditi, Universidad de Oriente"
"            2001","          SPE ","          68700-MS ","reservoir","A New Alternative in the Performance Monitoring and Control of the Reservoir- Artificial Lift System for the Optimization of a Producing Well","          Conference Paper","Cirilli, Lorenzo Arditi, Universidad de Oriente"
"            2016","          SPE ","          183391-MS ","drilling","Petrophysical Modeling Based on Porosity Partitioning, a Case Study in Thamama Formation","          Conference Paper","Menon, Pradeep, Al Dhafra Petroleum Operation Company"
"            2011","          SPE ","          143330-MS ","stimulation","Survey of More Than 1,000 Fracture Stage Database With Net Pressure in the Barnett Shale. Part 2","          Conference Paper","Shelley, Robert Frank, StrataGen Engineering"
"            2002","          SPE ","          73946-MS ","drilling","Rap Project: An Innovative Approach To The Risk Assessment Of Pipeline","          Conference Paper","Mazzucchelli, Luca, Ambiente SpA"
"            1999","          ISOPE ","          I-99-210 ","other","Analysis And Interpretation of Icing Rate Meter And Load Cell Measurements On the Mt. Bélair Icing Site","          Conference Paper","Savadjiev, Konstantin, Université du Québec à Chicoutimi"
"            2003","          SPE ","          79845-MS ","drilling","Summary of Results from a Joint Industry Study to Develop an Improved Methodology for Prediction of Geopressures for Drilling in Deep Water","          Conference Paper","Bridges, James W., Knowledge Systems, Inc."
"            1998","          NACE ","          98299 ","geophysics","Tutorial on Cyclic Potentiodynamic Polarization Technique","          Conference Paper","Silverman, David C., Solutia Inc."
"            2015","          SPE ","          173601-MS ","production","Reduced Emissions and Increased Production Through gas Compressors: Pilot Case in Colombia","          Conference Paper","Escobar-Remolina, J.C.M., Ecopetrol S.A."
"            2016","          SPE ","          181162-MS ","reservoir","Testing of Environmental Friendly Paraffin Removal Products","          Conference Paper","Armacanqui, J. Samuel, CITEEL"
"            2015","          SPE ","          177283-MS ","reservoir","Evaluation of Enhanced Condensate Recovery Potential in Shale Plays by Huff-n-Puff Gas Injection","          Conference Paper","Meng, Xingbang, Texas Tech University"
"            2015","          URTEC ","          2152510-MS ","stimulation","Fracture Characterization Based on Attenuation Estimation from Seismic Reflection Data Using Well-log-based Localized Spectral Correction","          Conference Paper","Li, Fangyu, AASPI, University of Oklahoma"
"            2007","          SPE ","          106966-MS ","production","Uncertainty Assessment on Well Performance Prediction for an Oil Well Equipped with Selected Completions","          Conference Paper","Ouyang, Liang-Biao, Chevron ETC"
"            2005","          SEG ","          2005-1701 ","reservoir","The Zoeppritz Equations, Information Theory, And Support Vector Machines","          Conference Paper","Kuzma, Heidi Anderson, University of California, Berkeley"
"            2004","          SEG ","          2004-0429 ","other","Predicting Seal Risk And Charge Capacity Using Chimney Processing: Three Gulf Of Mexico Case Histories","          Conference Paper","Walraven, David, Anadarko"
"            2004","          SPE ","          88520-MS ","geology","Karst Identification and Impact on Development Plan","          Conference Paper","Bourdon, Laurent, Sarawak Shell Bhd, Malaysia"
"            2009","          SPE ","          124856-MS ","reservoir","Data, Information, Knowledge, Wisdom: Shaping E&P World","          Conference Paper","Lyadina-Saville, Elena, Saville Solver Ltd"
"            2008","          SPE ","          112853-MS ","stimulation","Seismically Driven Characterization, Simulation and Underbalanced Drilling of Multiple Horizontal Boreholes in a Tight Fractured Quartzite Reservoir: Application to Sabria Field, Tunisia","          Conference Paper","Ouenes, Ahmed, Prism Seismic"
"            2009","          SPE ","          124815-MS ","reservoir","Pros and Cons of Applying Proxy-models as a Substitute for Full Reservoir Simulations","          Conference Paper","Zubarev, Denis Igorevich, SPT Group Inc"
"            2012","          SPE ","          149784-MS ","drilling","Maximize the placement of wells and production in unconventional reservoirs:Part 1","          Conference Paper","Holdaway, Keith Richard, SAS Institute Inc."
"            2013","          ISOPE ","          I-13-431 ","digital|wireless|AVO|pattern|Quantization","Modeling and Detection of Hydrodynamic Trends for Advancing Early-Tsunami Warnings","          Conference Paper","Sabeur, Zoheir, University of Southampton"
"            1999","          SPE ","          57433-MS ","stimulation","Intelligent Systems Can Design Optimum Fracturing Jobs","          Conference Paper","Mohaghegh, Shahab, West Virginia University"
"            2014","          SPE ","          167801-MS ","stimulation","Modeling Multiple Hydraulic Fractures Interacting with Natural Fractures Using the Material Point Method","          Conference Paper","Aimene, Yamina E., Oregon State University"
"            2017","          SPWLA ","          2017-GGGG ","drilling","Data-Driven Brittleness Index Prediction From Elemental Spectroscopy and Petrophysical Properties Using Support-Vector Regression","          Conference Paper","Negara, Ardiansyah, Baker Hughes"
"            2007","          ISRM ","          11CONGRESS-2007-203 ","geology","Intelligent Stability Analysis And Design Optimum of a Large Hydraulic Cavern Group Under High Geo-stress Condition","          Conference Paper","Xia-Ting, Feng, Institute of Rock and Soil Mechanics, Chinese Academy of Sciences"
"            2014","          SPE ","          167823-MS ","production","Applying Analytics to Production Workflows: Transforming Integrated Operations into Intelligent Operations","          Conference Paper","Bravo, Cesar, Halliburton"
"            2004","          SPWLA ","          2004-RR ","stimulation","Application Of A New Borehole Imager And Technique To Characterize Secondary Porosity And Net-To-Gross In Vugular And Fractured Carbonate Reservoirs In Permian Basin","          Conference Paper","Chitale, D.V. Vivek, Halliburton Energy Services"
"            2014","          SPE ","          171759-MS ","petrophysics","Rock-typing In Carbonates: A Critical Review Of Clustering Methods","          Conference Paper","Rebelle, Michel, Total"
"            2012","          SPE ","          153728-MS ","stimulation","Understanding the Impact of Channel Fracturing in the Eagle Ford Shale Through Reservoir Simulation","          Conference Paper","Altman, Raphael Mark, Schlumberger"
"            2014","          IPTC ","          18028-MS ","drilling","Comprehensive Multipore System Analysis for a Better Understanding of Metasediments Reservoir Deliverability: a Case Study from the South Malay Basin Offshore Peninsular, Malaysia","          Conference Paper","Gaafar, Gamal Ragab, PETRONAS Carigali Sdn. Bhd."
"            2005","          OTC ","          17730-MS ","digital|wireless|AVO|pattern|Quantization","Evolving Workflows To Maximize Value From The Digital Oil Field","          Conference Paper","Le Peuch, O., Schlumberger"
"            2016","          SPE ","          179716-MS ","drilling","Innovative Techniques for Unconventional Reservoirs: Managed Pressure Cementing Application in Western Argentina Shale Formations","          Conference Paper","Ficetti, S., Schlumberger"
"            2013","          SPE ","          163453-MS ","drilling","On The Path For Offshore Drilling Automation","          Conference Paper","Martins, A. L., Petrobras"
"            2017","          SPE ","          188077-MS ","drilling","Unconfined Compressive Strength Prediction from Petrophysical Properties and Elemental Spectroscopy Using Support-Vector Regression","          Conference Paper","Negara, Ardiansyah, Baker Hughes"
"            2017","          ISOPE ","          I-17-175 ","surface","Analysis of Influencing Factors of Water Traffic Accidents Severity Based on LIBSVM","          Conference Paper","Wang, Feixiang, Wuhan University of Technology, Hubei Key Laboratory of Inland Navigation Technology"
"            2010","          SPE ","          131718-MS ","drilling","Mechanical Earth Modelling Improves Drilling Efficiency and Reduces Non-Productive time (NPT)","          Conference Paper","Moazzeni, Ali Reza,"
"            2014","          IPTC ","          17495-MS ","stimulation","Assessing Reservoir Fracture Potential over Kra Al-Maru, Riksah Structure in the Kuwait Gotnia Sub-basin","          Conference Paper","Srigiriraju, Ramachandra, Schlumberger Inc."
"            2016","          ARMA ","          2016-635 ","reservoir","Mineral and Organic Matter Constituents in Weak Interfaces in Shales","          Conference Paper","Ptaszynska, Aleksandra, Gdansk University of Technology"
"            2012","          SPE ","          150662-MS ","reservoir","Prediction of Water Influx of Edge-Water Drive Reservoirs Using Nonparametric Optimal Transformations","          Conference Paper","Al-ghanim, Jassim Abdulaziz, Kuwait Gulf Oil Co"
"            2014","          ISRM ","          EUROCK-2014-006 ","petrophysics","Case Histories of Rock Engineering Projects in China","          Conference Paper","Feng, Xia-Ting, Chinese Academy of Sciences"
"            2011","          SEG ","          2011-1181 ","geophysics","Seismic Pattern Detection Using Very Fast Simulated Annealing","          Conference Paper","Huang, Kou Yuan, National Chiao Tung University"
"            2013","          URTEC ","          1619726-MS ","reservoir","Using Analytics to Quantify the Value of Seismic Data for Mapping Eagle Ford Sweetspots","          Conference Paper","Roth, Murray,"
"            2014","          SEG ","          2014-1137 ","geophysics","Fast One-Dimensional Velocity Model Determination Using Station-Pair Differential Times Based on the Differential Evolution Method in Microseismic Monitoring","          Conference Paper","Zhang, Jiewen, University of Science and Technology of China"
"            2011","          ISRM ","          12CONGRESS-2011-188 ","reservoir","A Study of the Compound Evaluation for Geophysical Explorations by Self-Organizing Maps","          Conference Paper","Nakamura, M., Kansai University"
"            1999","          SEG ","          1999-0981 ","surface","Application of Non-linear Discriminate Function In Oil-Gas Prediction","          Conference Paper","Feng, Yingjun, Harbin Institute of Technology, China"
"            1999","          SEG ","          1999-1283 ","stimulation","Refraction Tomography Without Ray Tracing","          Conference Paper","Osypov, Konstantin, Western Geophysical Co., Denver, Colorado"
"            2005","          SEG ","          2005-1390 ","reservoir","Predicting Vshale And Porosity Using Cascaded Seismic And Rock Physics Inversion","          Conference Paper","Saltzer, Rebecca, ExxonMobil Upstream Research Company"
"            2016","          SPE ","          185309-MS ","drilling","Improved Porosity - Permeability Relationship Using Data Mining Techniques","          Conference Paper","Bashir, Muhammad Omer, Schlumberger"
"            2005","          SEG ","          2005-1732 ","geophysics","Ant Colony Optimization For the Seismic Nonlinear Inversion","          Conference Paper","Chen, Shuangquan, CNPC Key Lab in Geophysics, China Petroleum of University, Beijing"
"            2014","          IPTC ","          17971-MS ","reservoir","Characterization of Volcanic Reservoir - New Integrated Approach: A Case Study from Raageshwari Deep Gas Field, Rajasthan, India","          Conference Paper","Chowdhury, Manabesh, Cairn India Ltd."
"            2016","          SPWLA ","          2016-DDD ","reservoir","Understanding Acoustic Data in Unconventional Reservoirs","          Conference Paper","Market, Jennifer, Weatherford"
"            2013","          SPE ","          163702-MS ","digital|wireless|AVO|pattern|Quantization","Advanced Streaming Data Cleansing","          Conference Paper","Zheng, Yingying, University of Southern California"
"            2008","          ISRM ","          ARMS5-2008-008 ","petrophysics","The Future For Rock Mechanics And The ISRMS","          Conference Paper","Hudson, J.A., Department of Earth Science and Engineering, Imperial College of Science, Technology and Medicine"
"            2016","          SPE ","          179535-MS ","reservoir","Application of PC-SAFT Equation of State for CO2 Minimum Miscibility Pressure Prediction in Nanopores","          Conference Paper","Wang, Shuhua, University of Calgary"
"            2015","          SPE ","          175708-MS ","reservoir","Development of Heterogeneous Immature Brownfield with Waterdrive Using Dynamic Opportunity Index: A Case Study from Iraqi Oilfields","          Conference Paper","Al-Khazraji, Ahmed Khalil, Iraqi Ministry of Oil & Universiti Teknologi PETRONAS"
"            2004","          SPE ","          88538-MS ","reservoir","Using a Modified Brooks-Corey Model to Study Oil-Water Relative Permeability for Diverse Pore Structures","          Conference Paper","Goda, H.M., The University of Adelaide"
"            2009","          SPE ","          119139-MS ","surface","Comparison of Stochastic Sampling Algorithms for Uncertainty Quantification","          Conference Paper","Mohamed, Lina, Heriot Watt University"
"            2006","          SPE ","          100674-MS ","reservoir","Data Analysis of Barnett Shale Completions","          Conference Paper","Grieser, William Vincent, Halliburton Energy Services Group"
"            2010","          SPE ","          133209-MS ","reservoir","Permeability Prediction from Wireline Well Logs Using Fuzzy Logic and Discriminant Analysis","          Conference Paper","Nashawi, Ibrahim Sami, Kuwait University"
"            2006","          SPE ","          99451-MS ","reservoir","A Consistent Approach towards Reservoir Simulation at Different Time Scales","          Conference Paper","Nikolaou, Michael, U. of Houston"
"            2002","          SEG ","          2002-0552 ","geophysics","Automated Mapping of Carbonate Mounds Using 3D Seismic Texture Attributes","          Conference Paper","Carrillat, Alexis, Schlumberger Stavanger Research"
"            2016","          SPE ","          180857-MS ","reservoir","Correlation for CO2 Minimum Miscibility Pressure in Tight Oil Reservoirs","          Conference Paper","Zhang, Kai, University of Calgary"
"            2016","          SPE ","          181864-MS ","stimulation","A Statistical Approach to Fracture Optimization of the Glauconite Formation in Southern Chile","          Conference Paper","Alqatrani, G., Missouri University of Science and Technology"
"            2009","          ISOPE ","          I-09-151 ","geophysics","Wave Height Forecast Using Self-Organization Algorithm Model","          Conference Paper","Tsai, Tsung-Min, Department of Hydraulics and Ocean Engineering, National Cheng Kung University, Tainan, TAIWAN, China"
"            2005","          SPE ","          93269-MS ","drilling","Improved Permeability Estimation through use of Fuzzy Logic in a Carbonate Reservoir from Southwest, Iran","          Conference Paper","Taghavi, Ali Asghar, Norwegian U. of Science & Tech"
"            2005","          SPE ","          94354-MS ","reservoir","Adding Value through Integrated Research to Unlock the Tight Gas Potential in the Rotliegendes Formation of Northern-Germany","          Conference Paper","Gaupp, Reinhard H., University Jena"
"            2010","          SPE ","          137958-MS ","geology","Geomodeling of Giant Carbonate Oilfields with a new Multipoint Statistics Workflow","          Conference Paper","Carrillat, Alexis, Schlumberger Asia Services Ltd."
"            2017","          ISOPE ","          I-17-345 ","drilling","Study of Adaptive Automated GMAW Process for Full Penetration Fillet Welds in Offshore Steel Structures","          Conference Paper","Gyasi, Emmanuel Afrane, Lappeenranta University of Technology (LUT)"
"            2004","          SPE ","          87038-MS ","reservoir","A Novel Model for Permeability Prediction in Uncored Wells","          Conference Paper","Shokir, E.M.El-M., King Saud University"
"            2015","          SPE ","          178355-MS ","reservoir","A simple aggregate parameter for comparing waterflood reservoirs","          Conference Paper","Tetegan, Gerard, Shell Nigeria Exploration & Production Company"
"            2016","          SPE ","          181817-MS ","stimulation","Understanding Production Mechanism to Optimise Well Stimulation by Production Analysis in Keshen HPHT and Natural Fractured Tight Gas Reservoir","          Conference Paper","Yang, Xiangtong, PetroChina"
"            2016","          OTC ","          27048-MS ","drilling","Application of a Novel Cement Spacer with Biodegradable Polymer to Improve Zonal Isolation in HTHP Wells","          Conference Paper","Li, Li, Baker Hughes"
"            2015","          SPE ","          174370-MS ","other","Integrated Model Based Decision Analysis in Twelve Steps Applied to Petroleum Fields Development and Management","          Conference Paper","Schiozer, Denis José, State University of Campinas"
"            2016","          IPTC ","          18783-MS ","drilling","Reservoir Characterization of Horizontal Wells in CD Carbonate Formation with Advanced LWD Technology","          Conference Paper","Abrar, Budi, Schlumberger"
"            2017","          SPE ","          184462-MS ","drilling","Leading Indicators For Onshore Drilling HSE Outcomes","          Conference Paper","Jablonowski, Christopher J., Shell Exploration & Production Company"
"            2001","          SPE ","          71742-MS ","drilling","Improvements in a Through-Casing Pulsed-Neutron Density Log","          Conference Paper","Odom, Richard C., Computalog U.S.A., Inc."
"            2016","          SPE ","          180045-MS ","drilling","Mathematical Approach of MSE in Thermo-Poro-Elastic Conditions Improves Decision Making to Use RWD","          Conference Paper","Roohi, Abbas, Montanuniversität Leoben"
"            2016","          SPE ","          178837-MS ","drilling","Quantifying Asphaltene Content from Downhole Optical Spectral Data during Sampling While-Drilling Operations","          Conference Paper","Indo, K., Schlumberger"
